#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520616230437878799,0.7178706414,-0.5030354702,1.3869264061,0.9995577063,-0.0257699852,-0.0056787047,-0.0137132035
1520616230446211799,0.7178303884,-0.5029589937,1.3869700765,0.9995631713,-0.0256893053,-0.0062686799,-0.0131996139
1520616230454545799,0.7176651022,-0.5031836646,1.3869897241,0.9995571786,-0.0252554233,-0.0072669186,-0.0139571554
1520616230462878799,0.7174565555,-0.5031484501,1.3869247336,0.9995588044,-0.0246403310,-0.0084921943,-0.0142454618
1520616230471211799,0.7171117957,-0.5030857599,1.3868492930,0.9995592741,-0.0239423902,-0.0097308494,-0.0146058242
1520616230479545799,0.7172405998,-0.5034098895,1.3871447978,0.9995291768,-0.0241103826,-0.0115346638,-0.0150686986
1520616230487878799,0.7169087908,-0.5033175939,1.3871501657,0.9995168201,-0.0240508764,-0.0127400849,-0.0150123911
1520616230496211799,0.7166526824,-0.5033510238,1.3870718425,0.9995078456,-0.0235119144,-0.0142141448,-0.0151398345
1520616230504544799,0.7164170329,-0.5034328486,1.3871047758,0.9994836644,-0.0232247691,-0.0155142592,-0.0158846595
1520616230512878799,0.7162292716,-0.5034334789,1.3871408985,0.9994759271,-0.0226008876,-0.0166511142,-0.0161186697
1520616230521211799,0.7160502569,-0.5035490568,1.3873179616,0.9994428224,-0.0228818868,-0.0178693157,-0.0164666824
1520616230529545799,0.7159304744,-0.5036086224,1.3874361970,0.9994431942,-0.0227368988,-0.0184186359,-0.0160339912
1520616230537878799,0.7158177789,-0.5036677147,1.3874832465,0.9994321553,-0.0220104223,-0.0192796859,-0.0167093390
1520616230546211799,0.7155927303,-0.5035566951,1.3875145087,0.9994329781,-0.0219908921,-0.0196375035,-0.0162631947
1520616230554544799,0.7156026909,-0.5033856266,1.3875895585,0.9994418161,-0.0227326145,-0.0196271532,-0.0146307671
1520616230562878799,0.7155323959,-0.5031450025,1.3873808386,0.9994197039,-0.0225857724,-0.0210344547,-0.0144114550
1520616230571211799,0.7153512992,-0.5036003085,1.3876974584,0.9994149978,-0.0220032168,-0.0209203349,-0.0157435799
1520616230579545799,0.7154184828,-0.5033035207,1.3876122301,0.9994198786,-0.0217162806,-0.0217536589,-0.0146658678
1520616230587878799,0.7153791251,-0.5035972106,1.3880265693,0.9993904174,-0.0218800814,-0.0222244766,-0.0156884753
1520616230596211799,0.7154613377,-0.5034217777,1.3879530140,0.9993909397,-0.0213175938,-0.0230331698,-0.0152572286
1520616230604545799,0.7152624478,-0.5034528208,1.3882392219,0.9993843983,-0.0220695882,-0.0227911834,-0.0149773049
1520616230612878799,0.7153419343,-0.5032775486,1.3882041491,0.9993838171,-0.0215455761,-0.0234730579,-0.0147237821
1520616230621211799,0.7148818701,-0.5031127970,1.3883506354,0.9993628038,-0.0227436292,-0.0233010413,-0.0146210528
1520616230629544799,0.7149089199,-0.5028813536,1.3883059651,0.9993787194,-0.0226398762,-0.0231847982,-0.0138591636
